Designator,Mid X,Mid Y,Layer,Rotation
BT1,0.000mm,14.400mm,Top,0.0
BT2,0.000mm,-14.400mm,Top,0.0
C1,9.500mm,-47.000mm,Top,0.0
C2,15.000mm,-47.500mm,Top,0.0
C3,-27.500mm,-28.000mm,Top,90.0
C4,42.000mm,-31.500mm,Top,90.0
C5,17.500mm,-29.500mm,Top,90.0
C6,28.000mm,-33.000mm,Top,0.0
C7,28.000mm,-35.000mm,Top,0.0
C8,47.500mm,12.000mm,Top,90.0
C9,16.500mm,36.500mm,Top,0.0
C10,23.500mm,36.500mm,Top,0.0
C11,-12.500mm,46.000mm,Top,90.0
C12,-12.500mm,42.500mm,Top,90.0
C13,-12.500mm,35.500mm,Top,90.0
C14,-8.500mm,-37.500mm,Top,90.0
C15,30.000mm,33.500mm,Top,0.0
C16,-22.000mm,40.000mm,Top,90.0
C17,-22.000mm,36.500mm,Top,90.0
D1,12.500mm,-35.000mm,Top,0.0
D2,40.000mm,-28.000mm,Top,0.0
D3,-15.760mm,-48.504mm,Top,-162.0
D4,-19.927mm,-46.946mm,Top,-157.0
J1,0.000mm,-52.300mm,Top,0.0
L1,47.300mm,-16.000mm,Top,90.0
Q1,-41.500mm,-28.500mm,Top,0.0
Q2,12.500mm,-30.000mm,Top,0.0
Q3,23.500mm,-33.000mm,Top,0.0
Q4,19.000mm,-33.000mm,Top,0.0
Q5,-21.500mm,-43.500mm,Top,0.0
Q6,-21.500mm,-39.500mm,Top,0.0
R1,5.500mm,-43.000mm,Top,0.0
R2,5.500mm,-45.000mm,Top,0.0
R3,8.000mm,-37.500mm,Top,90.0
R4,-29.000mm,-42.500mm,Top,90.0
R5,-31.500mm,-40.500mm,Top,90.0
R6,-30.000mm,-28.000mm,Top,90.0
R7,-25.000mm,-28.000mm,Top,90.0
R8,20.000mm,-29.000mm,Top,90.0
R9,32.500mm,-28.500mm,Top,90.0
R10,34.500mm,-28.500mm,Top,90.0
R11,19.000mm,-36.500mm,Top,0.0
R12,23.500mm,-36.500mm,Top,0.0
R13,34.500mm,30.000mm,Top,90.0
R14,-16.000mm,40.000mm,Top,90.0
R15,-19.000mm,40.000mm,Top,90.0
R16,-16.000mm,36.500mm,Top,90.0
R17,-19.000mm,36.500mm,Top,90.0
R18,-12.500mm,39.000mm,Top,90.0
R19,12.500mm,29.500mm,Top,90.0
R20,-27.500mm,-40.000mm,Top,90.0
R21,-27.500mm,-37.000mm,Top,90.0
R22,12.500mm,33.500mm,Top,90.0
SW2,-27.000mm,37.000mm,Top,0.0
SW3,-40.000mm,28.500mm,Top,0.0
U1,0.000mm,38.000mm,Top,0.0
U2,13.000mm,-42.000mm,Top,0.0
U3,-34.000mm,-28.000mm,Top,0.0
U4,45.700mm,-24.000mm,Top,90.0
U5,20.000mm,33.000mm,Top,0.0
U6,-13.500mm,-42.000mm,Top,0.0
U7,30.000mm,30.000mm,Top,0.0
U8,-6.000mm,-44.500mm,Top,0.0
